jlopez@u20:~/miso-arquitectura-agil-grupo-05/monitor/flaskr$ flask run -p 4900
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:4900/ (Press CTRL+C to quit)
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:21] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:22] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:42] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:42] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:42] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:42] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:42] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:42] "GET /monitor/registropaciente HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2021 23:44:42] "GET /monitor/registropaciente HTTP/1.1" 200 -
